name,weat_es,type1_precision_diff,type1_recall_diff,type1_f1_diff,type2_precision_diff,type2_recall_diff,type2_f1_diff,CoNLL F1
ar_winobias_overbias_reg5e-2_sim0.5_ant0.0,1.5187812406175707,0.11926781763844996,0.11033586408973406,0.11465425284558295,0.1114321465569178,0.10166821733772702,0.10640235037308488,0.6245968540728751
ar_winobias_overbias_reg5e-2_sim0.5_ant0.5,1.5343020253652044,0.11731959627741284,0.10442797891843286,0.11052598889465914,0.10112867496953715,0.10110848303117537,0.101589986937207,0.6289812880103807
ar_winobias_overbias_reg5e-2_sim0.5_ant1.0,1.555030769969688,0.25671324038348875,0.22874498411134125,0.24193891989423827,0.15215809114636214,0.11641845509617843,0.13292430644619635,0.6291189281009145
ar_winobias_overbias_reg5e-2_sim1.0_ant0.0,1.5401074953512999,0.29316802916413426,0.2481385893150599,0.26881045992016644,0.2513684789089493,0.19710507421631368,0.22099178070493303,0.6312609185826435
ar_winobias_overbias_reg5e-2_sim1.0_ant0.5,1.580569100048822,0.2485402608701605,0.22660413158994164,0.2370841070332793,0.208569230689847,0.189292902875344,0.19871510515585433,0.6334086430420122
ar_winobias_overbias_reg5e-2_sim1.0_ant1.0,1.588934588087741,0.14691498483598986,0.12524315164279048,0.13521693355755354,0.1304213206714786,0.09998463294774518,0.11331629348826022,0.6319559294310801
ar_winobias_overbias_reg1e-2_sim0.0_ant0.0,1.7479904671614097,0.2759027622233293,0.25065269431239523,0.262687891143447,0.24403325435127987,0.20244849089845524,0.22139380204125592,0.6275255179071538
ar_winobias_overbias_reg1e-2_sim0.0_ant0.5,1.766632760613747,0.17359754304018515,0.15645252467362897,0.16460684807714787,0.21909634333320915,0.21013176807466838,0.21455496383072126,0.6266074506075004
ar_winobias_overbias_reg1e-2_sim0.0_ant1.0,1.7998902647540223,0.2861717008574441,0.2526702301728102,0.2683816494195164,0.2201651527067804,0.1967444958561072,0.20802612711441437,0.6327209350945561
ar_winobias_overbias_reg1e-2_sim0.5_ant0.0,1.7023061622462499,0.24993626381517647,0.20940104928753012,0.22790665370256724,0.19876363929675733,0.1470599572560034,0.16910451012056305,0.6284129985278941
ar_winobias_overbias_reg1e-2_sim0.5_ant0.5,1.7501940570199186,0.24767959380140175,0.23036136492663856,0.23871047566964215,0.25214235094540716,0.21277134039855555,0.23078990141068012,0.629160841881972
ar_winobias_overbias_reg1e-2_sim0.5_ant1.0,1.7811564686296273,0.19502618462222854,0.17427951964200672,0.18413109578380293,0.2297057109986147,0.20313537511571778,0.21561088641267157,0.6277367869704169
ar_winobias_overbias_reg1e-2_sim1.0_ant0.0,1.7362778635881841,0.28876892894448725,0.27341613213001237,0.2808797173186594,0.2831200357366022,0.2707014648156724,0.2768538752351294,0.6263284895845721
ar_winobias_overbias_reg1e-2_sim1.0_ant0.5,1.7796737294631702,0.2609028346788627,0.22607434072862348,0.24226136404985832,0.19224357592390884,0.15444234931167033,0.1713456158586406,0.6293411104186813
ar_winobias_overbias_reg1e-2_sim1.0_ant1.0,1.8011765725313564,0.3756025950872019,0.3511165817989864,0.36296182793902504,0.28054898225225056,0.2597684422671396,0.2697886659782819,0.62920186907464
