name,weat_es_winobias,rnsb_winobias,type1_precision_diff,type1_recall_diff,type1_f1_diff,type2_precision_diff,type2_recall_diff,type2_f1_diff,CoNLL F1
ar_winobias_debias_reg1e-2_sim1.0_ant0.0,-1.7716798656251815,-0.03751059231989767,-0.09847087201198601,-0.08992057441489842,-0.09401197011252471,-0.21160707580553517,-0.16617566788965532,-0.18622509327473347,0.6305531301561622
ar_winobias_debias_reg1e-2_sim1.0_ant1.0,-1.8630761618937826,-0.05683453741004807,-0.17032972723475592,-0.1487677285664903,-0.15895649427527792,-0.19176609430313418,-0.15913410115203486,-0.1740082229808655,0.6280021617356649
ar_winobias_overbias_reg1e-1_sim0.0_ant0.0,1.1574437708602656,0.01299915589299272,0.18058696928467743,0.16716541865535683,0.17363773538390032,0.13248213248351748,0.10797591390526662,0.11909548718586738,0.6245145817410388
ar_winobias_overbias_reg1e-1_sim0.0_ant1.0,1.2094454981866418,0.014498599921311806,0.21382854144656782,0.20470796602762537,0.2092093881792692,0.11505886643186458,0.09811781576368528,0.10592763544862605,0.6315373479401077
ar_winobias_overbias_reg1e-1_sim1.0_ant0.0,1.187698510209703,0.013950547235967059,0.12560978641093723,0.09912434280339327,0.11098556987157926,0.10523642676975942,0.08448753700462597,0.09373768664590565,0.6350443776202812
ar_winobias_overbias_reg1e-1_sim1.0_ant1.0,1.2582136077376618,0.015688759846569145,0.140844273575236,0.1269776158256551,0.13356914734488456,0.09837134223364319,0.08625946576688548,0.09207347438727054,0.6259152508163904
ar_winobias_overbias_reg5e-2_sim0.0_ant0.0,1.3994148193980327,0.017711202595087627,0.1439230461965133,0.14008299886137887,0.14206500144604495,0.1652503061055527,0.15588401030397958,0.16052680097112826,0.6268925417137733
ar_winobias_overbias_reg5e-2_sim0.0_ant1.0,1.4809942204127986,0.020189342095047857,0.1941326821682393,0.16863731519304287,0.18048694699605566,0.22363892846347755,0.1766656447998003,0.19740451467550707,0.6287589763553313
ar_winobias_overbias_reg5e-2_sim1.0_ant0.0,1.4652627927122748,0.020165766120694983,0.24700376945550984,0.2197864711474103,0.23260103481218358,0.19180053038115596,0.1868254025359558,0.19018021697324672,0.6319909895148781
ar_winobias_overbias_reg5e-2_sim1.0_ant1.0,1.5251108314368467,0.022631646656824767,0.22759826212527945,0.20628891275176126,0.21648353595359426,0.10469733870519093,0.1042381775536112,0.10479163378716405,0.6272726148361157
ar_winobias_overbias_reg1e-2_sim0.0_ant0.0,1.850510126358621,0.040288641670329806,0.37796544367383494,0.3505078163617895,0.3637050220934676,0.3433833257468355,0.30353609602312487,0.32225139853917156,0.6287990189912623
ar_winobias_overbias_reg1e-2_sim0.0_ant1.0,1.9013346511341747,0.05791438031175211,0.3811076503477472,0.3438199332613679,0.3615950021815664,0.37227457661264063,0.3336971333518705,0.351983652382929,0.6311707432830925
ar_winobias_overbias_reg1e-2_sim1.0_ant0.0,1.907842918114728,0.05852852772333232,0.45387213436006285,0.41554858723331395,0.4338743506025385,0.43996805489021046,0.3792508577855663,0.40753879607961324,0.6314064999944694
ar_winobias_overbias_reg1e-2_sim1.0_ant1.0,1.937489179958482,0.08356368079314636,0.36509734329722415,0.3431488079256399,0.35379438506258865,0.3404592844157154,0.3023882539971644,0.3203294084762455,0.6311797517964853
