name,weat_es_weat_6,weat_es_weat_7,weat_es_weat_8,rnsb_weat_6,rnsb_weat_7,rnsb_weat_8,type1_precision_diff,type1_recall_diff,type1_f1_diff,type2_precision_diff,type2_recall_diff,type2_f1_diff,CoNLL F1
ar_weat_gender_debias_reg5e-2_sim1.0_ant0.0,-0.539897129524372,-1.0941097470855061,-1.5305923810163742,-0.010318335512213228,-0.01757703274486222,-0.027657756485377216,0.12899365685771402,0.11790747866599272,0.12319009448047535,0.11845826312791852,0.0987763266390066,0.10778450209336476,0.6313664195848749
ar_weat_gender_debias_reg5e-2_sim1.0_ant1.0,-0.7763918706621264,-1.2739923584487818,-1.6551688350777698,-0.016601125132790218,-0.024230414948634982,-0.03729338941881255,0.14283506324549455,0.11172458938841817,0.12569906586098795,0.044176484654620096,0.049472015084779386,0.0481890940788704,0.629897476949988
ar_weat_gender_debias_reg1e-2_sim0.0_ant0.0,-1.842024498026686,-1.8950969704023022,-1.9683436757572683,-0.08688367187589514,-0.08847076703703716,-0.1021635127091447,0.14948438628034688,0.14220872779954324,0.14579860961439361,0.1409404295622343,0.1241737317961853,0.1320817126566407,0.6309451658046529
ar_weat_gender_debias_reg1e-2_sim0.0_ant1.0,-1.9157053265841861,-1.9350256308097449,-1.9816686559191343,-0.13257479045667275,-0.13813087791921808,-0.155345913430811,0.13840474451569595,0.12739144009783854,0.13267421762243414,0.09349834224657694,0.07821621230157655,0.08519861969026843,0.6282506454853681
ar_weat_gender_debias_reg1e-2_sim1.0_ant0.0,-1.9099762179654536,-1.93343698457272,-1.981499452183787,-0.13121852496062977,-0.13679441700935552,-0.15350814064252766,0.08296220380928687,0.0831147251683888,0.08332088483315303,0.1022133899478811,0.09528219547600059,0.09901699930382113,0.6292731787607778
ar_weat_gender_debias_reg1e-2_sim1.0_ant1.0,-1.9515880552240452,-1.9650758139081925,-1.9928636636080814,-0.22177446336999806,-0.2326322087545334,-0.24226504506579666,0.07638481675791053,0.06894315399862383,0.07248452727189925,0.059040759438151014,0.04628516425303941,0.051912446873979,0.6268297477852949
ar_weat_gender_overbias_reg1e-1_sim0.0_ant0.0,1.364534627308537,1.6420639147548544,1.4546196910664837,0.03958133161762084,0.03825809949337011,0.029906850298147436,0.14309057548130366,0.12494661660038342,0.1334731585787664,0.027155091273672882,0.045084158011185704,0.03715733161623824,0.6309157222081204
ar_weat_gender_overbias_reg1e-1_sim0.0_ant1.0,1.4477811351363736,1.7065900811869539,1.521572994594202,0.043524345796947916,0.04275280371289675,0.03494085339686959,0.13535048943250583,0.11899064706082246,0.12664548945058618,0.06573472373897227,0.060892589176847034,0.06365893905125364,0.6302956165125964
ar_weat_gender_overbias_reg1e-1_sim1.0_ant0.0,1.3970436644410062,1.6961052786289488,1.5090277265964869,0.04130468054848496,0.04057885018477514,0.032822888278394746,0.20129607937353078,0.18417862203336938,0.1923593844542703,0.051136685247963776,0.04558445152973534,0.0482106931523838,0.6280585137329633
ar_weat_gender_overbias_reg1e-1_sim1.0_ant1.0,1.4700823825440006,1.7100063285517801,1.5529323883520607,0.0473113322502563,0.04565587624519424,0.03729788121156635,0.1525386464430316,0.12692033636306083,0.13868457181814808,0.145595011593444,0.12349067778190903,0.13358842093944157,0.6256943784157741
ar_weat_gender_overbias_reg5e-2_sim0.0_ant0.0,1.5764854522185168,1.7877994225671543,1.6828046836154469,0.0538890962389888,0.05213276010492418,0.044861571044342796,0.21156674639708561,0.19270240035848912,0.20170164362322185,0.04908605668168142,0.046895848713841115,0.04850385452673944,0.6321032085838735
ar_weat_gender_overbias_reg5e-2_sim0.0_ant1.0,1.6207459887099434,1.8384220378013536,1.7475869720849746,0.06022699403960892,0.06324591739916201,0.05441103674205927,0.09721536328716196,0.0966329489226807,0.09710527172516792,0.061383194708988564,0.06114994089060355,0.06141213013454305,0.6322981025409569
ar_weat_gender_overbias_reg5e-2_sim1.0_ant0.0,1.6194113383356454,1.8060076833759182,1.7207255985980932,0.05996774837704226,0.055466918624864914,0.05000787550544805,0.2023089673667534,0.1751815681059748,0.18782972497920464,0.11969116713503447,0.11025944738746962,0.11528873948002516,0.6304048048541957
ar_weat_gender_overbias_reg5e-2_sim1.0_ant1.0,1.6774940243037,1.8498603787912682,1.8103166796168855,0.06737162166361425,0.06727680019176474,0.06412983621203878,0.09965199280017356,0.08739488704658993,0.0931541591492534,0.0401729694759313,0.016828642495894774,0.026454123571538313,0.6291808397142659
ar_weat_gender_overbias_reg1e-2_sim0.0_ant0.0,1.8905575584863328,1.9485135420700772,1.9510923544443382,0.12390414608968832,0.12411702119316721,0.12433840791497061,0.1002290107523679,0.07583558095038989,0.0867302548629959,0.029192579097182314,0.030288281562743324,0.03003142557592453,0.629689878482294
ar_weat_gender_overbias_reg1e-2_sim0.0_ant1.0,1.9437331773993003,1.9615611327620002,1.9707617558035735,0.19186306868877026,0.19542656570610495,0.19349817196392632,0.1768340565988611,0.15977589859168811,0.16787245740174822,0.049461817211570724,0.056475727890854754,0.053670623814008334,0.6299017571949278
ar_weat_gender_overbias_reg1e-2_sim1.0_ant0.0,1.9222015383994915,1.957901744625928,1.970262665601745,0.18113280699904677,0.18675446002749285,0.19151094871447868,0.10996326455536543,0.10116560293288868,0.1053839409708206,0.09830378656229333,0.08266518871483486,0.08985821461603805,0.6313945364033687
